link,category,name,image,description,availability,mpn,sku,brand,price,condition,seller,full description
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/450GB-15000RPM/SEAGATE/ST3450857SS_175092.htm,Home/HARD DRIVES/SAS-6GBPS/450GB-15000RPM/ST3450857SS, Seagate Cheetah ST3450857SS 450GB 15000 RPM SAS 6Gb/s 3.5&quot; ref HDD,http://www.serversuply.com//images/item/175092.jpg,SEAGATE ST3450857SS CHEETAH 450GB 15000RPM SAS 6GBPS 16MB BUFFER 3.5INCH FORM FACTOR INTERNAL HARD DISK DRIVE. ,IN STOCK,ST3450857SS,175092,SEAGATE,45,Refurbished,Sever Supply,"Detail overview
Seagate - Cheetah 450gb 15000rpm Sas 6gbps 16mb Buffer 3.5 Inch Form Factor Internal Hard Disk Drive (st3450857ss).

Condition : Refurbished.
Availability : In Stock.
Our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/146GB-15000RPM/TOSHIBA/MBE2147RC_179686.htm,Home/HARD DRIVES/SAS-6GBPS/146GB-15000RPM/MBE2147RC, Toshiba MBE2147RC 147GB 15000 RPM 16MB Cache SAS 6Gb/s 3.5&quot; HDD.Dell OEM,http://www.serversuply.com//images/item/179686.jpg,TOSHIBA MBE2147RC 147GB 15000RPM 16MB BUFFER SAS-6GBPS 2.5INCH HARD DISK DRIVE. REFURBISHED DELL OEM. ,IN STOCK,MBE2147RC,179686,TOSHIBA,33,New,Sever Supply,"Detail overview
Toshiba - 147gb 15000rpm 16mb Buffer Sas-6gbps 2.5inch Hard Disk Drive.


Key Features :
Capacity : 147 Gb
Interface : Sas-2 (sas 6gbits)
Enclosure : Internal
Hdd Form Factor : 2.5
Spindle Speed : 15000 Rpm

Technical Features :
Data Transfer Rate : 600 Mbps
Buffer Size : 16 Mb
Interface (detailed) : Sas 6gb/sec

Dimensions :
Height : 15 Mm.
Width : 69.85 Mm.
Depth : 100.45 Mm.
Weight : 220 G.


Condition : Refurbished Dell Oem.
Availability : In Stock.
Our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/300GB-10000RPM/SEAGATE/ST300MM0006_191875.htm,Home/HARD DRIVES/SAS-6GBPS/300GB-10000RPM/ST300MM0006, Seagate Savvio ST300MM0006 300GB 10K RPM SAS 6Gb/S 2.5&quot; HDD,http://www.serversuply.com//images/item/191875.jpg,SEAGATE ST300MM0006 SAVVIO 300GB 10000RPM SAS 6GBITS 2.5INCH FORM FACTOR 64MB BUFFER HARD DISK DRIVE. DELL OEM. ,IN STOCK,ST300MM0006,191875,SEAGATE,55,New,Sever Supply,"Detail overview
Specifications
model Number: st300mm0006
interface: sas 6gbits
cache: 64mb
capacity: 300gb

Performance:
spin Speed (rpm): 10000 Rpm
average Latency: 3.0ms
sustained Data Transfer Rate: 124mb/s
random Read Seek Time: 4.0ms
random Write Seek Time: 4.4ms

Physical:
height: 15.00mm (0.591 In)
width: 70.40mm (2.760 In)
length: 100.45mm (3.955 In)
weight: (typical) 217g (0.47 Lb)

Condition : Refurbished (dell Oem).
availability : In Stock.
our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-II/250GB-7200RPM/SAMSUNG/HE253GJ_132614.htm,Home/HARD DRIVES/SATA-II/250GB-7200RPM/HE253GJ, Samsung HE253GJ Spinpoint F3R 250GB 7.2K 16MB Cache SATA-II 3.5&quot; HDD,http://www.serversuply.com//images/item/132614.jpg,SAMSUNG HE253GJ SPINPOINT F3R 250GB 7200RPM SATA 3.0GB/S 3.5INCH 16MB BUFFER  INTERNAL HARD DISK DRIVE. REFURBISHED DELL OEM. ,IN STOCK,HE253GJ,132614,SAMSUNG,35,New,Sever Supply,"Detail overview
Samsung - Spinpoint F3r 250gb 7200rpm Sata 3.0gb/s 3.5inch 16mb Buffer Internal Hard Disk Drive.


Key Features :
Capacity : 250 Gb
Interface : Serial Ata-300(sata-ii)
Enclosure : Internal
Hdd Form Factor : 3.5inch
Spindle Speed : 7200 Rpm
Buffer Size : 16 Mb

Condition : Refurbished Dell Oem.
Availability : In Stock.
Our Warranty : 30 Day."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/3TB-7200RPM/SEAGATE/ST3000NC002_188282.htm,Home/HARD DRIVES/SATA-6GBPS/3TB-7200RPM/ST3000NC002, Seagate Constellation ST3000NC002 3TB 7200RPM SATA 6Gb/s 3.5&quot; New HDD,http://www.serversuply.com//images/item/188282.jpg,SEAGATE CONSTELLATION ST3000NC002 3TB 7200RPM SATA 6GBPS 3.5INCH 64MB BUFFER INTERNAL HARD DISK DRIVE. ,IN STOCK,ST3000NC002,188282,SEAGATE,50,Refurbished,Sever Supply,"Detail overview
Seagate - Constellation Cs 3tb 7200rpm Sata 6gbps 3.5inch 64mb Buffer Internal Hard Disk Drive (st3000nc002).

Specifications:
Manufacturer : Seagate
Manufacturer Part Number: St3000nc002
Mfg Website Address: Www.seagate.com
Product Line : Constellation Cs
Interface : Sata 6gb/s
Form Factor : 3.5 Inch
Cache : 64mb
Capacity : 3 Tb


Condition : Refurbished.
Availability : In Stock.
Our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/3TB-7200RPM/SEAGATE/ST33000650NS_137249.htm,Home/HARD DRIVES/SATA-6GBPS/3TB-7200RPM/ST33000650NS, Seagate Constellation ES ST33000650NS 3TB 7200RPM SATA 6Gb/s 3.5&quot; HDD,http://www.serversuply.com//images/item/137249.jpg,SEAGATE CONSTELLATION ST33000650NS 3TB 7200RPM SATA-6GBPS 64MB BUFFER 3.5INCH INTERNAL HARD DISK DRIVE.  ,IN STOCK,ST33000650NS,137249,SEAGATE,45,Refurbished,Sever Supply,"Detail overview
Seagate - Constellation Es.2 3tb(3000-gb) 7200rpm Sata-6gbps 64mb Buffer 3.5inch Internal Hard Disk Drive (st33000650ns).

Condition : Refurbished.
Availability : In Stock.
Mfg Warranty : None.
Our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-3GBPS/146GB-15000RPM/SEAGATE/ST3300657SS-H_260268.htm,Home/HARD DRIVES/SAS-3GBPS/146GB-15000RPM/ST3300657SS-H, SEAGATE ST3300657SS-H 146GB 15K RPM SAS 3Gbps 16MB Cache 3.5&quot; HDD,http://www.serversuply.com//images/item/260268.jpg,SEAGATE ST3300657SS-H 146GB 15000RPM SAS-3GBITS 16MB BUFFER 3.5 INCH INTERNAL HARD DISK DRIVE. DELL OEM. ,IN STOCK,ST3300657SS-H,260268,SEAGATE,40,Refurbished,Sever Supply,"Detail overview
General Information
manufacturer: seagate Technology
manufacturer Part Number: st3300657ss-h
manufacturer Website Address: www.seagate.com

Technical Information
storage Capacity: 146 Gb
rotational Speed: 15000 Rpm
buffer: 16 Mbytes

Condition : Refurbished (dell Oem).
availability : In Stock.
our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/1TB-7200RPM/SEAGATE/ST91000640SS_224483.htm,Home/HARD DRIVES/SAS-6GBPS/1TB-7200RPM/ST91000640SS, Seagate Constellation.2 ST91000640SS 1TB 7.2K SAS 6Gb/S 2.5&quot; Ref HDD,http://www.serversuply.com//images/item/224483.jpg,SEAGATE ST91000640SS CONSTELLATION.2 1TB 7200 RPM SAS-6GBITS 64 MB BUFFER 2.5 INCH INTERNAL HARD DISK DRIVE. ,IN STOCK,ST91000640SS,224483,SEAGATE,50,Refurbished,Sever Supply,"Detail overview
Specifications:
manufacturer : Seagate
manufacturer Part Number: St91000640ss
mfg Website Address: Www.seagate.com
product Line : Constellation.2
interface : Sas-6gbits
cache : 64mb
capacity : 1-tb(1000 - Gb)

Physical:
compatible Drive Bay Width: 2.5
compatible Drive Bay Height: 1/3h
height: 1.7
width: 6.4
depth: 9.1
weight (approximate): 0.65 Lb

Performance:
maximum External Data Transfer Rate: 600 Mbps
rotational Speed: 7200 Rpm
buffer: 64 Mb

Condition : Refurbished.
availability : In Stock.
our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/1TB-7200RPM/SEAGATE/ST1000NM0033_191538.htm,Home/HARD DRIVES/SATA-6GBPS/1TB-7200RPM/ST1000NM0033, Seagate Constellation ST1000NM0033 1TB 7.2K SATA 6Gb/s 3.5&quot; Ref HDD,http://www.serversuply.com//images/item/191538.jpg,SEAGATE ST1000NM0033 CONSTELLATION ES.3 1TB 7200 RPM SATA-6GBPS 128 MB BUFFER 3.5 INCH INTERNAL HARD DISK DRIVE. ,IN STOCK,ST1000NM0033,191538,SEAGATE,50,Refurbished,Sever Supply,"Detail overview
Specifications:
manufacturer : Seagate
manufacturer Part Number: St1000nm0033
mfg Website Address: Www.seagate.com
product Line : Constellation Es.3
interface : Sata-6gbps
cache : 128mb
capacity : 1-tb(1000-gb)

Physical:
compatible Drive Bay Width: 3.5
compatible Drive Bay Height: 1/3h
height: 1.02
width: 4.01
depth: 5.87

Performance:
maximum External Data Transfer Rate: 600 Mbps
rotational Speed: 7200 Rpm
buffer: 128 Mb

Condition : Refurbished.
availability : In Stock.
our Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SAS-3GBPS/500GB-7200RPM/DELL/YP777_155398.htm,Home/HARD DRIVES/SAS-3GBPS/500GB-7200RPM/YP777, Dell YP777 500GB 7.2K 3.5&quot; SAS 3Gbps Internal HDD,http://www.serversuply.com//images/item/155398.jpg,DELL YP777 500GB 7200RPM SAS-3GBPS 16MB BUFFER 3.5INCH LOW PROFILE(1.0INCH) INTERNAL HARD DISK DRIVE. ,IN STOCK,YP777,155398,DELL,55,Refurbished,Sever Supply,"Detail overview
General Information :
manufacturer : Dell
part Number : Yp777

Drive Specification :
storage Capacity: 500gb
enclosure Type : Internal
interface Type : Serial Attached Scsi (sas-3gbps)
rotational Speed: 7200 Rpm
buffer : 16 Mb

Drive Performance :
seek Time : 8.5 Ms Average Read Typical
seek Time : 9.5 Ms Average Write Typical
latency : 4.16 Ms Average
interfaces/ports: 1 X Sas 300 Serial Attached Scsi

Physical Characteristics
form Factor: 3.5 Inch X 1/3h Internal
dimensions : 1 Inch Height X 4 Inch Width X 5.7 Inch Depth

Condition : Refurbished
availability : In Stock
our Warranty : 30 Days"
https://www.serversupply.com/HARD DRIVES/SAS-6GBPS/600GB-10000RPM/SEAGATE/ST600MM0006_191912.htm,Home/HARD DRIVES/SAS-6GBPS/600GB-10000RPM/ST600MM0006, Seagate Savvio ST600MM0006 600GB 10K RPM SAS 6Gbps 2.5&quot; Oem HDD,http://www.serversuply.com//images/item/191912.jpg,SEAGATE ST600MM0006 SAVVIO 600GB 10000RPM SAS 6GBITS 2.5INCH FORM FACTOR 64MB BUFFER HARD DISK DRIVE. DELL OEM. ,IN STOCK,ST600MM0006,191912,SEAGATE,55,Refurbished,Sever Supply,"Detail overview
Specifications
model Number: st600mm0006
interface: sas 6gbits
cache: 64mb
capacity: 600gb

Performance:
spin Speed (rpm): 10000 Rpm
average Latency: 3.0ms
sustained Data Transfer Rate: 124mb/s
random Read Seek Time: 4.0ms
random Write Seek Time: 4.4ms

Physical:
height: 15.00mm (0.591 In)
width: 70.40mm (2.760 In)
length: 100.45mm (3.955 In)
weight: (typical) 221g (0.48 Lb)

Condition : Refurbished (dell Oem).
availability : In Stock.
our Warranty : 30 Days."
